subject,time_spent,recall_score,previous_interval,next_study_interval
CS,52.85,3.14,1.67,3.98
Biology,56.39,4.23,1.36,3.44
Biology,87.46,2.57,4.86,11.12
Literature,15.76,3.54,2.26,5.52
History,90.67,4.19,3.46,8.73
Physics,31.52,1.43,2.93,1.0
Physics,54.67,5.0,0.5,1.3
Chemistry,51.42,3.22,5.59,13.38
Literature,71.77,1.47,0.65,1.0
Math,28.04,3.66,8.08,19.85
Chemistry,69.24,3.53,0.87,2.12
Literature,100.49,3.42,3.97,9.62
History,32.74,4.49,1.0,2.55
History,63.79,4.25,1.15,2.91
History,46.76,3.8,1.11,2.75
History,68.52,3.95,4.13,10.3
History,60.38,3.4,2.44,5.91
Literature,47.17,5.0,6.44,16.74
Literature,69.76,2.02,1.1,2.4
Biology,96.09,3.64,3.53,8.66
Geography,56.18,3.57,4.19,10.24
Physics,74.4,4.31,0.49,1.24
CS,34.13,2.66,1.54,3.55
History,40.87,1.76,1.98,1.0
Math,69.45,3.66,1.32,3.24
CS,89.68,3.78,1.17,2.89
Literature,67.11,4.99,3.48,9.05
Math,53.74,2.23,0.73,1.62
Math,59.99,4.65,3.71,9.53
Math,34.99,5.0,8.2,21.32
Biology,72.09,3.12,2.5,5.95
Literature,77.65,2.21,2.84,6.31
Math,50.96,3.09,0.21,1.0
History,50.6,3.51,6.0,14.62
Chemistry,65.32,4.06,1.01,2.53
Math,51.27,2.91,2.86,6.71
Biology,58.68,5.0,11.61,30.19
CS,101.99,2.39,2.72,6.13
Literature,55.06,1.76,3.87,1.0
Geography,52.83,4.61,1.77,4.54
Biology,47.05,1.23,0.19,1.0
Math,74.88,3.3,4.79,11.53
Literature,56.38,5.0,0.11,1.0
Chemistry,47.01,3.49,3.62,8.81
Math,86.43,2.38,0.07,1.0
Biology,88.39,3.44,5.95,14.44
Physics,47.99,3.45,0.51,1.24
History,22.67,3.66,2.17,5.33
Geography,80.15,4.16,2.73,6.88
CS,46.31,2.46,1.83,4.15
Biology,75.81,5.0,1.25,3.25
Literature,20.6,3.75,1.89,4.67
Geography,77.85,4.23,1.12,2.83
Geography,35.78,2.87,1.73,4.05
Geography,74.62,4.79,1.33,3.43
Math,60.29,3.24,2.51,6.02
History,40.92,3.78,0.82,2.03
Math,51.86,2.57,13.44,30.74
Literature,73.73,2.5,2.08,4.73
Math,62.12,4.19,0.65,1.64
Physics,71.69,3.06,1.94,4.6
History,99.53,2.65,6.04,13.9
History,28.72,2.86,0.07,1.0
Literature,92.34,4.2,3.41,8.6
CS,62.09,2.87,2.38,5.57
Physics,42.02,3.38,0.56,1.35
Biology,33.39,3.52,5.1,12.43
Math,56.22,1.58,1.38,1.0
Chemistry,78.43,2.03,1.04,2.27
Math,57.45,3.84,5.28,13.1
Geography,90.22,2.76,3.05,7.08
Math,30.98,4.56,6.86,17.57
Biology,59.76,4.47,2.98,7.6
Math,34.95,4.22,4.05,10.23
Physics,67.27,5.0,5.43,14.12
Physics,77.74,3.42,0.17,1.0
History,51.58,4.15,4.49,11.3
Literature,7.92,2.92,2.85,6.69
CS,63.98,5.0,0.22,1.0
Chemistry,68.73,5.0,2.13,5.54
Geography,68.09,3.51,0.26,1.0
Math,84.72,3.89,3.99,9.92
Math,38.58,4.86,2.37,6.13
Biology,73.6,3.35,9.21,22.23
Literature,83.85,2.84,0.61,1.42
Physics,24.43,4.37,2.79,7.09
Chemistry,66.39,3.58,0.71,1.74
History,49.92,3.68,2.86,7.03
Physics,58.37,2.67,3.85,8.87
Geography,66.95,1.78,3.84,1.0
Literature,50.26,3.74,5.06,12.49
Geography,46.49,4.4,5.76,14.66
CS,60.68,3.27,0.24,1.0
History,38.26,4.94,1.26,3.27
CS,38.28,2.8,3.49,8.12
Biology,73.59,2.45,2.07,4.69
Geography,37.02,3.43,0.63,1.53
Biology,73.33,3.42,2.41,5.84
Math,69.25,4.27,1.57,3.97
CS,25.48,2.73,1.48,3.43
Literature,46.45,4.87,4.98,12.89
Geography,83.88,5.0,1.57,4.08
Chemistry,40.38,3.46,0.08,1.0
History,50.71,4.75,0.18,1.0
Physics,69.24,2.44,5.82,13.18
Literature,75.67,4.58,9.7,24.86
Literature,54.97,4.55,3.5,8.96
Biology,48.05,4.36,1.36,3.46
CS,88.45,3.48,8.37,20.36
Geography,94.78,1.0,3.26,1.0
Geography,79.58,2.86,5.58,13.04
Math,61.71,2.87,4.36,10.2
Math,43.83,2.52,1.43,3.26
History,43.39,3.62,1.95,4.78
Biology,70.45,3.08,0.62,1.47
Literature,68.37,2.68,1.04,2.4
Geography,88.03,2.44,4.52,10.23
Chemistry,73.01,2.78,6.73,15.64
Biology,29.94,4.62,3.87,9.93
History,81.04,2.84,1.88,4.39
History,40.04,2.99,0.27,1.0
Biology,52.32,3.04,0.18,1.0
History,65.0,3.84,1.41,3.5
Biology,99.91,3.96,1.87,4.67
Physics,122.2,1.0,2.82,1.0
Biology,72.13,4.52,0.02,1.0
CS,56.34,4.94,13.73,35.63
Biology,70.69,2.45,1.36,3.08
History,77.75,2.53,5.65,12.88
Geography,53.59,3.05,2.3,5.45
CS,95.9,2.74,0.42,1.0
History,64.6,3.72,4.79,11.81
Math,69.95,1.55,3.71,1.0
Math,73.32,2.38,2.25,5.07
Geography,68.43,5.0,2.17,5.64
Geography,76.78,2.57,0.27,1.0
CS,47.65,4.74,3.2,8.25
Physics,48.83,3.86,7.27,18.05
Geography,38.0,1.69,0.29,1.0
Math,68.79,4.14,0.92,2.32
Biology,75.58,3.38,6.98,16.88
History,69.16,3.04,1.0,2.37
Math,93.49,3.74,3.18,7.85
Math,59.89,3.97,2.3,5.74
Physics,73.37,4.21,2.72,6.87
CS,38.17,4.68,1.61,4.14
CS,52.26,3.91,1.07,2.66
Literature,73.91,2.12,0.15,1.0
Physics,76.98,3.03,4.09,9.67
Biology,54.12,5.0,4.11,10.69
CS,58.57,4.22,3.33,8.41
History,29.64,5.0,3.1,8.06
Geography,52.86,4.9,0.84,2.18
Physics,77.81,3.74,0.07,1.0
Geography,71.5,3.8,4.96,12.28
Math,70.01,3.46,2.03,4.93
History,61.0,1.76,1.1,1.0
History,60.14,3.52,0.32,1.0
Math,46.79,4.71,0.19,1.0
Physics,73.98,2.9,1.29,3.02
Math,68.42,3.91,4.9,12.2
Geography,69.84,4.35,7.53,19.12
Literature,49.48,2.59,6.81,15.6
History,16.93,3.05,7.58,17.95
Chemistry,81.94,2.48,7.15,16.24
Chemistry,50.42,2.68,2.25,5.19
Geography,42.74,2.21,0.74,1.64
Biology,73.87,2.6,4.8,11.01
CS,52.16,4.92,0.72,1.87
Math,81.2,2.58,0.93,2.13
Math,72.34,3.63,0.8,1.96
Biology,73.67,3.0,2.17,5.12
Biology,32.68,4.68,1.17,3.01
Geography,84.24,4.81,0.5,1.29
Geography,65.23,4.36,1.81,4.6
Biology,52.61,3.81,6.21,15.38
History,62.87,3.27,2.54,6.1
Geography,24.48,2.31,6.32,14.16
Literature,68.17,5.0,0.65,1.69
Geography,39.41,2.74,0.55,1.27
Math,32.95,4.16,2.57,6.47
Geography,29.55,4.56,1.87,4.79
History,82.25,2.94,3.24,7.62
Biology,47.41,4.54,4.75,12.16
Math,90.67,4.26,4.17,10.55
Geography,49.28,5.0,8.56,22.26
History,25.85,3.03,1.52,3.59
Literature,37.67,2.21,0.69,1.53
Geography,84.72,2.99,2.4,5.66
History,56.88,3.71,0.35,1.0
Literature,49.03,3.56,1.02,2.49
Biology,63.2,3.11,0.7,1.66
Geography,70.04,1.59,1.52,1.0
Literature,82.35,3.97,0.35,1.0
Math,88.97,5.0,0.1,1.0
Biology,52.8,3.96,3.21,8.01
Math,33.48,4.11,2.83,7.11
Chemistry,51.73,4.07,3.7,9.28
Physics,65.21,3.9,3.24,8.06
Geography,40.72,4.43,0.36,1.0
Literature,40.86,3.9,1.03,2.56
Physics,66.88,3.19,0.42,1.0
Physics,59.03,2.7,5.55,12.82
Literature,60.66,3.25,4.12,9.88
Biology,44.83,3.81,0.68,1.68
Geography,55.39,3.18,1.25,2.99
Chemistry,41.52,3.81,10.2,25.26
Math,77.8,3.94,2.71,6.76
History,80.7,4.33,4.85,12.31
Math,23.08,4.78,0.92,2.37
History,41.41,3.58,0.71,1.74
Math,30.07,2.19,4.6,10.2
Literature,47.0,3.15,3.47,8.27
Chemistry,58.33,3.54,3.43,8.37
Geography,31.01,1.66,2.41,1.0
History,41.56,4.89,2.49,6.45
Geography,39.92,3.64,3.99,9.79
Geography,64.15,3.88,0.94,2.34
Geography,61.39,4.87,1.31,3.39
CS,45.57,2.87,6.16,14.41
Biology,63.54,4.07,1.11,2.78
Math,49.07,3.39,2.37,5.73
Geography,54.57,3.32,3.64,8.77
Math,93.47,2.73,28.49,65.96
Geography,86.81,5.0,1.71,4.45
History,34.01,3.12,1.68,4.0
Biology,76.59,4.2,5.55,14.0
Biology,76.23,1.62,4.91,1.0
Literature,37.03,4.68,3.94,10.14
CS,76.38,4.55,1.87,4.79
Literature,90.76,3.6,1.17,2.87
Literature,37.55,3.27,2.82,6.77
Literature,41.65,3.9,6.27,15.6
Literature,80.35,5.0,6.46,16.8
Literature,65.43,1.74,0.34,1.0
Chemistry,71.03,4.28,1.68,4.25
Biology,66.81,2.59,1.87,4.28
Literature,67.81,3.48,11.4,27.73
Geography,33.47,3.25,3.4,8.16
Biology,80.95,3.07,1.57,3.72
Biology,83.39,3.49,0.08,1.0
Physics,55.41,2.37,2.5,5.63
Chemistry,59.13,4.53,0.3,1.0
Literature,29.38,1.71,5.4,1.0
Math,70.29,4.04,4.19,10.49
History,71.44,3.17,1.85,4.42
CS,58.76,2.33,1.68,3.77
Geography,82.49,3.7,6.83,16.82
Math,53.32,1.94,1.02,1.0
Chemistry,71.29,3.54,0.86,2.1
History,39.61,2.08,8.4,18.45
Chemistry,59.53,3.96,4.97,12.4
Geography,56.51,2.58,5.15,11.79
Biology,64.51,3.05,0.65,1.54
History,52.61,3.79,0.46,1.14
Biology,57.37,2.73,0.08,1.0
Geography,76.52,3.44,0.81,1.97
Math,51.26,1.99,4.46,1.0
Geography,27.87,4.13,0.82,2.06
Math,94.99,5.0,3.92,10.19
History,87.63,5.0,0.87,2.26
History,34.15,3.59,1.51,3.7
Literature,73.79,4.29,12.25,31.03
Chemistry,49.94,1.72,0.84,1.0
Literature,65.27,5.0,1.42,3.69
Chemistry,65.88,4.28,1.07,2.71
Literature,55.31,3.02,0.35,1.0
Biology,44.32,4.74,2.02,5.21
History,46.19,3.25,1.43,3.43
Math,41.68,3.04,3.56,8.42
Chemistry,43.36,3.98,5.1,12.74
Geography,58.66,2.44,2.36,5.34
Chemistry,45.68,4.52,0.1,1.0
Math,73.64,2.44,2.89,6.54
Literature,89.74,2.45,0.17,1.0
Chemistry,48.4,2.59,2.87,6.58
CS,64.79,4.26,3.47,8.78
Biology,69.99,2.88,0.66,1.54
History,69.44,2.15,5.13,11.33
Math,61.52,2.89,7.26,17.0
History,74.85,3.47,5.03,12.23
CS,69.64,2.32,1.09,2.44
Chemistry,35.25,2.35,2.65,5.96
Chemistry,77.38,5.0,7.39,19.21
Geography,77.75,2.64,1.16,2.67
CS,44.73,3.18,5.14,12.28
Math,60.76,3.13,0.03,1.0
Geography,73.67,3.08,0.01,1.0
Biology,55.81,4.12,4.28,10.76
Geography,81.46,4.45,4.3,10.96
Physics,107.28,3.19,4.67,11.16
Math,44.28,2.26,7.98,17.8
Physics,32.38,4.77,0.38,1.0
CS,66.08,3.4,0.79,1.91
Literature,74.43,5.0,7.02,18.25
Physics,55.38,1.25,0.59,1.0
Biology,89.07,3.7,3.44,8.47
Geography,33.23,5.0,2.27,5.9
Literature,73.86,3.15,0.26,1.0
Geography,47.88,3.27,1.01,2.43
Physics,94.39,3.8,2.2,5.45
Geography,99.85,2.94,5.74,13.49
CS,44.67,3.19,3.69,8.82
Literature,49.01,3.16,2.92,6.96
CS,77.19,2.87,2.06,4.82
Physics,52.26,4.73,1.06,2.73
CS,59.09,3.96,0.38,1.0
Biology,60.51,3.75,1.58,3.9
Physics,21.61,4.31,0.09,1.0
Physics,59.72,3.24,0.71,1.7
Physics,46.21,2.73,1.7,3.94
Math,50.14,2.9,1.63,3.82
Geography,88.87,3.5,0.14,1.0
Math,34.87,2.44,2.67,6.05
Math,76.26,3.0,2.39,5.64
Biology,54.42,2.98,0.24,1.0
Literature,54.4,5.0,8.6,22.36
Geography,75.81,1.0,0.31,1.0
CS,66.8,3.32,5.79,13.95
Chemistry,71.41,5.0,0.0,1.0
Physics,79.36,3.62,6.42,15.74
CS,53.37,4.25,0.06,1.0
Physics,47.76,3.6,4.25,10.41
Biology,38.3,2.83,1.35,3.15
Physics,43.49,1.26,4.02,1.0
Math,118.98,3.71,1.54,3.79
Geography,84.89,2.72,0.22,1.0
Chemistry,32.98,2.7,4.38,10.12
History,33.55,3.0,0.22,1.0
Physics,69.64,5.0,7.66,19.92
CS,70.95,5.0,0.16,1.0
Math,70.98,3.72,1.96,4.83
History,54.9,3.04,3.85,9.11
Chemistry,57.49,2.32,1.5,3.36
History,66.56,3.97,0.73,1.82
Math,61.72,5.0,4.27,11.1
Geography,15.61,3.25,4.6,11.03
Geography,55.4,1.12,7.68,1.0
Literature,42.97,4.17,1.42,3.58
Geography,63.5,4.49,2.12,5.41
Literature,119.71,1.91,1.35,1.0
History,67.35,3.68,0.89,2.19
Biology,53.73,3.95,4.17,10.4
CS,78.44,3.43,1.24,3.01
CS,69.65,2.71,1.68,3.88
History,68.4,4.52,1.55,3.96
Physics,72.14,3.1,3.74,8.89
Physics,101.13,2.01,7.5,16.36
Geography,37.38,1.45,3.3,1.0
CS,69.47,4.76,1.91,4.93
CS,41.47,4.12,4.53,11.39
Literature,71.11,3.59,3.07,7.51
Biology,41.63,3.06,0.19,1.0
Math,51.65,2.97,0.3,1.0
Physics,54.1,2.42,0.12,1.0
CS,79.52,3.07,1.83,4.34
Literature,78.37,1.38,5.24,1.0
Chemistry,35.09,2.76,1.13,2.62
Literature,61.1,3.19,1.45,3.47
Physics,45.81,4.11,7.21,18.12
Physics,34.83,3.46,5.44,13.22
Literature,55.66,4.29,3.28,8.31
Math,53.83,4.85,0.93,2.41
History,108.53,4.56,0.37,1.0
Physics,68.66,3.97,0.05,1.0
Literature,32.45,3.51,0.34,1.0
CS,48.7,2.52,1.04,2.37
Literature,80.43,4.24,2.41,6.09
Biology,101.77,5.0,0.2,1.0
History,28.28,3.84,0.44,1.09
Chemistry,22.4,5.0,0.6,1.56
Math,97.42,1.97,3.0,1.0
Geography,67.79,2.35,2.87,6.45
Chemistry,42.63,4.36,2.4,6.1
History,70.69,3.76,0.87,2.15
History,7.29,4.81,1.39,3.59
History,60.07,3.48,0.31,1.0
Chemistry,66.56,2.63,0.77,1.77
CS,78.49,3.29,6.84,16.45
History,39.72,1.97,11.69,1.0
Literature,61.71,2.37,3.13,7.05
Chemistry,41.49,4.47,7.46,19.04
Geography,65.11,4.37,3.09,7.85
History,42.09,3.86,0.1,1.0
Literature,51.84,1.78,17.2,1.0
CS,40.08,3.14,0.31,1.0
Biology,73.02,2.28,3.44,7.69
CS,77.17,4.68,0.87,2.24
Geography,55.31,2.92,1.49,3.5
History,60.76,2.41,3.11,7.02
Geography,31.03,3.53,1.72,4.2
Chemistry,54.01,2.86,0.87,2.03
Physics,59.0,4.98,1.22,3.17
History,112.42,2.77,1.25,2.9
Physics,37.76,2.1,9.61,21.14
Literature,89.28,1.35,4.81,1.0
Biology,79.94,3.47,1.84,4.47
Math,65.61,2.94,0.67,1.57
Geography,95.17,2.07,5.0,10.97
CS,67.44,4.69,0.51,1.31
Biology,67.78,4.17,0.71,1.79
History,58.94,3.47,1.37,3.33
Physics,84.47,4.86,6.37,16.49
CS,81.93,4.16,0.42,1.06
Physics,47.49,2.68,0.39,1.0
Chemistry,33.62,2.46,2.04,4.63
Physics,55.94,4.32,0.97,2.46
Chemistry,44.0,3.9,2.52,6.27
Literature,58.73,3.67,1.8,4.42
CS,84.75,2.65,1.71,3.94
CS,50.85,4.11,0.36,1.0
Math,59.14,2.74,0.46,1.07
History,61.16,3.4,5.16,12.49
Chemistry,76.97,4.95,6.51,16.9
Math,15.06,2.84,0.8,1.87
Physics,47.87,1.93,0.36,1.0
Physics,64.23,2.45,0.16,1.0
Math,84.0,4.49,2.81,7.18
CS,50.16,3.75,3.77,9.31
Physics,22.47,3.37,1.4,3.38
Geography,72.39,2.99,3.42,8.07
Literature,47.29,3.99,3.74,9.35
Literature,36.21,2.65,8.22,18.92
Geography,47.51,3.81,0.2,1.0
Math,56.31,2.77,0.64,1.49
Geography,47.91,2.6,0.21,1.0
Chemistry,15.89,2.86,6.07,14.19
Chemistry,77.94,3.12,4.72,11.23
Math,85.5,3.45,2.56,6.22
Geography,73.03,3.74,0.26,1.0
Chemistry,37.25,1.0,0.96,1.0
CS,55.97,2.69,1.06,2.45
Geography,59.87,3.11,2.47,5.87
CS,71.98,5.0,0.9,2.34
Chemistry,73.37,2.42,0.23,1.0
Literature,45.32,3.66,3.94,9.68
Chemistry,61.64,5.0,1.07,2.78
CS,69.15,2.19,1.81,4.01
Biology,89.12,3.89,0.41,1.02
History,74.09,2.7,4.87,11.25
Physics,75.78,3.0,2.5,5.9
Geography,61.68,2.7,6.96,16.08
Biology,88.21,2.77,2.05,4.76
Chemistry,68.2,5.0,8.51,22.13
Literature,42.78,4.34,6.67,16.93
Math,88.07,4.6,2.58,6.62
Chemistry,73.96,3.99,8.15,20.37
Literature,51.14,1.89,1.17,1.0
History,50.41,3.89,1.37,3.41
Chemistry,65.93,4.57,0.14,1.0
CS,69.26,2.65,2.67,6.15
Math,63.95,4.47,3.84,9.8
Literature,66.23,4.2,4.46,11.25
Literature,94.0,5.0,0.49,1.27
Literature,81.43,3.08,1.76,4.18
History,63.81,2.4,0.58,1.31
Chemistry,78.83,3.14,3.26,7.77
History,39.35,4.94,0.52,1.35
Geography,67.96,1.67,7.04,1.0
Physics,96.19,1.43,0.79,1.0
Physics,55.64,3.59,1.03,2.52
Geography,43.05,3.06,5.71,13.53
Chemistry,46.96,3.51,1.84,4.48
CS,38.21,4.45,0.07,1.0
History,44.3,2.95,2.05,4.82
Math,52.59,1.63,0.26,1.0
Literature,31.89,5.0,12.67,32.94
Literature,60.31,2.5,2.66,6.05
Chemistry,78.05,2.44,0.89,2.02
CS,41.84,4.6,2.49,6.39
Physics,90.39,3.12,0.24,1.0
Physics,70.22,3.44,4.83,11.72
Literature,80.61,3.98,7.78,19.43
Chemistry,46.84,4.58,6.23,15.97
History,77.09,3.17,1.25,2.98
Physics,38.16,5.0,1.18,3.07
History,77.8,1.36,0.11,1.0
CS,63.44,4.26,3.16,7.99
Physics,71.07,2.66,2.3,5.3
Physics,36.49,4.87,1.84,4.76
Biology,42.1,3.64,7.15,17.55
Physics,71.94,2.83,0.55,1.28
Geography,41.03,4.16,0.03,1.0
Math,69.26,4.39,0.23,1.0
Geography,32.66,4.14,0.76,1.91
Chemistry,76.96,2.47,0.1,1.0
Chemistry,35.35,3.02,2.1,4.96
History,71.05,3.5,1.13,2.75
Geography,72.51,3.46,0.6,1.46
